occ_code,occupation_title,observed_exposure,theoretical_exposure,human_theoretical_exposure,annual_mean_wage,total_employment,computer_use_score,physical_presence_index,customer_facing_index,education_index,task_usage_pct,frontline_origin_task_usage_pct,major_group,frontline_soc,calibrated_employment_pct,any_ai_use,log_wage,ai_access_gap,frontline_physical,frontline_customer
25-1194,"Career/Technical Education Teachers, Postsecondary",0.1563,0.8461538461538461,0.6923076923076923,68300.0,111180.0,3.55,2.3225,4.2700000000000005,5.251474852514748,0.39368223153804466,0.0,25,0,0.07321495706153253,1.0,11.131665045558881,0.6898538461538462,0.0,0.0
25-1199,,,,,96570.0,166980.0,,,,,0.0,0.0,25,0,0.10996072612101727,,11.478023412960964,,,
25-2011,"Preschool Teachers, Except Special Education",0.0,0.3939393939393939,0.4696969696969697,41410.0,430240.0,2.27,2.835,4.113333333333333,4.5006500650065,0.21274812978028662,0.0,25,0,0.28332436702782654,0.0,10.631277676539613,0.3939393939393939,0.0,0.0
25-2012,"Kindergarten Teachers, Except Special Education",0.0,0.410958904109589,0.4520547945205479,67790.0,118580.0,3.55,2.9725,4.52,6.3814,0.03691998313725587,0.0,25,0,0.07808805188304124,0.0,11.124169970425012,0.410958904109589,0.0,1.0
25-2021,"Elementary School Teachers, Except Special Education",0.103,0.5675675675675675,0.4864864864864865,70740.0,1410070.0,4.12,2.8925,4.763333333333333,6.436599999999999,0.13471866187317819,0.0,25,0,0.9285682182384886,1.0,11.166766462759472,0.46456756756756756,0.0,1.0
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",0.2972,0.6231884057971014,0.4782608695652174,71460.0,626690.0,3.87,2.7975,4.133333333333334,5.7776,0.14270489936031544,0.0,25,0,0.4126918640123387,1.0,11.176893131577401,0.3259884057971014,0.0,0.0
25-2023,"Career/Technical Education Teachers, Middle School",0.0,0.4516129032258064,0.5161290322580645,69020.0,12210.0,4.14,2.4725,4.34,6.5165999999999995,0.015186943418161906,0.0,25,0,0.008040606455489405,0.0,11.142151596651994,0.4516129032258064,0.0,0.0
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",0.2901,0.6349206349206349,0.5238095238095237,73800.0,1045170.0,4.19,2.505,4.283333333333334,6.341065893410658,0.011521129489640096,0.0,25,0,0.6882719614319297,1.0,11.209114010588564,0.34482063492063486,0.0,0.0
25-2032,"Career/Technical Education Teachers, Secondary School",0.0,0.5151515151515151,0.5454545454545454,70810.0,90070.0,4.08,2.7800000000000002,3.9966666666666666,5.754224577542245,0.08234989146572344,0.0,25,0,0.05931346629368802,0.0,11.167755512645819,0.5151515151515151,0.0,0.0
25-2051,"Special Education Teachers, Preschool",0.0058,0.2857142857142857,0.4428571428571428,76420.0,24850.0,4.03,2.5475,4.296666666666667,7.0575,0.042811469808094506,0.0,25,0,0.016364379231688105,1.0,11.243999721000892,0.27991428571428567,0.0,0.0
